id,category,rating,label,text_,class_fcnn_bge,random_forest,xgboost,correct_count,ensemble_vote
14,Home_and_Kitchen_5,1.0,CG,These are so flimsy! They are not the quality you would expect from a piece of furniture.,0,0,0,0,0
142,Home_and_Kitchen_5,1.0,CG,"Terrible, complete waste of money. Not a whole lot to say.",0,0,0,0,0
218,Home_and_Kitchen_5,5.0,CG,Great Seller. Item just like it.Great quality and just what I needed for my kitchen! ,0,0,0,0,0
307,Home_and_Kitchen_5,5.0,CG,Beautiful shower curtain. Just what I wanted. Looks good in my bathroom.,0,0,0,0,0
315,Home_and_Kitchen_5,5.0,CG,unpacked and used as soon as it arrived.  I was a little surprised how well this one,0,0,0,0,0
461,Home_and_Kitchen_5,5.0,OR,This product is sturdy and has a nice design.  Will last and last.,0,0,0,0,0
514,Home_and_Kitchen_5,5.0,CG,"Without having to use the spout, the spout is a nice piece of equipment.",0,0,0,0,0
724,Home_and_Kitchen_5,1.0,CG,Not as described. Not what I expected. Not what I wanted.,0,0,0,0,0
751,Home_and_Kitchen_5,4.0,CG,"Not super powerful. Creates a nice, suction-free surface.",0,0,0,0,0
957,Home_and_Kitchen_5,5.0,CG,"great brushes, I wind up using a whole bunch of these for all kinds of things.",0,0,0,0,0
965,Home_and_Kitchen_5,5.0,CG,It runs quiet and eliminated some of the noise we've heard in our bedroom. I'm not sure how,0,0,0,0,0
1072,Home_and_Kitchen_5,5.0,CG,"Beautiful color, really brightened up my room and the curtains are very soft.",0,0,0,0,0
1080,Home_and_Kitchen_5,2.0,CG,Serious off-gassing!!! ugh!  Not only do you have to clean the area around the,0,0,0,0,0
1119,Home_and_Kitchen_5,4.0,OR,"This is a nice little lamp, but the color in the picture is not accurate; it is not purple, it is fuschia.",0,0,0,0,0
1547,Home_and_Kitchen_5,5.0,CG,"I can't wait to see what happens when the ice gets too cold.Nice, sturdy, and functional.  Great for the price. ",0,0,0,0,0
1555,Home_and_Kitchen_5,4.0,CG,everything is great. no more bulky suction cups. My husband likes it too!  It is so easy to use.,0,0,0,0,0
3727,Home_and_Kitchen_5,4.0,CG,"The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass. The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass. The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass. The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass. The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass. The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass. The AVEX Brew Pint Glass, Stainless Steel, Comes With a Manual Instructions Manual for Brew Pint Glass.",0,0,0,0,0
4073,Sports_and_Outdoors_5,5.0,CG,Great Tool to add to your EDC. Easy to use and make a difference.,0,0,0,0,0
4079,Sports_and_Outdoors_5,5.0,CG,"Good light for night sporting, hiking or camping.  Easy to adjust and turn up the volume and",0,0,0,0,0
4158,Sports_and_Outdoors_5,5.0,CG,"Never give your camelback to a friend, let them ride for a while, just in case.",0,0,0,0,0
4161,Sports_and_Outdoors_5,5.0,CG,Great reception. Easy to tune and set up. Great value for the money.This is a great,0,0,0,0,0
4209,Sports_and_Outdoors_5,4.0,OR,Used it for the first time yesterday and it worked great.,0,0,0,0,0
4269,Sports_and_Outdoors_5,5.0,CG,Good and efective at 50% off.  Great value for the money!This is a,0,0,0,0,0
4349,Sports_and_Outdoors_5,5.0,CG,This lure does entice strikes.  I have an old reel that came with this lure and I,0,0,0,0,0
4357,Sports_and_Outdoors_5,5.0,CG,This works faster and with more effort you can get a good grip on your rifle.Very nice.,0,0,0,0,0
4374,Sports_and_Outdoors_5,2.0,CG,Meh.  Was a much better fit than the knee pads I had on my knee. ,0,0,0,0,0
4454,Sports_and_Outdoors_5,5.0,CG,I use these to count the number of pieces of clothing I have left for my family.,0,0,0,0,0
4666,Sports_and_Outdoors_5,3.0,CG,i guess yiu get what i paid for.  i've got a lot of bikes and one,0,0,0,0,0
4675,Sports_and_Outdoors_5,5.0,CG,"Totally does the job, keeps my hands free and keeps my wrist warm.",0,0,0,0,0
4722,Sports_and_Outdoors_5,5.0,CG,"Item as advertised, fast shipping.  I received the product in good condition and my expectations were met",0,0,0,0,0
4733,Sports_and_Outdoors_5,3.0,CG,o. k. but could have saved some money by shipping it in a carrier.,0,0,0,0,0
4865,Sports_and_Outdoors_5,5.0,CG,"muchas gracias, compre desde Venezuela, ancien suo de las m",0,0,0,0,0
5104,Sports_and_Outdoors_5,5.0,CG,Under Armour clothes are always better than the ones you buy for your backpacking trip. I ordered the 32 oz.,0,0,0,0,0
5117,Sports_and_Outdoors_5,5.0,CG,Awesome!  Use it when hiking or camping.  Easy to use and make a difference!  Works as advertised,0,0,0,0,0
5726,Sports_and_Outdoors_5,5.0,CG,"This skull cap did what it was designed to do. It did not make my head itch, but it did not make my skin look like it was chapped.",0,0,0,0,0
5800,Sports_and_Outdoors_5,5.0,OR,This is a Beautiful little knife. The fit and finish is great and it is so small you forget your carrying it. Love this blade. It is a shame they discontinued this chairman series.,0,0,0,0,0
